rank,time_bucket,time_seconds,coordinates,lat,lon,newly_covered_buildings,newly_covered_people_est
1,30s,30,"31.747700,34.988650",31.747699747333613,34.988649502924275,15,105
2,30s,30,"31.752977,34.993585",31.752977029078934,34.993584726556605,14,98
3,30s,30,"31.738803,34.978934",31.738802510270954,34.978933999355945,14,98
4,30s,30,"31.750861,34.994392",31.750861009231496,34.99439231148232,13,91
5,30s,30,"31.736118,34.982484",31.736117775040473,34.98248425729124,13,91
6,30s,30,"31.738267,34.978342",31.73826707377488,34.9783422794366,13,91
7,30s,30,"31.740779,34.978879",31.740778895778984,34.97887865815838,12,84
8,30s,30,"31.752028,34.988676",31.752028094380208,34.988675678138954,12,84
9,30s,30,"31.743675,34.974765",31.743675059306398,34.974765200006864,11,77
10,30s,30,"31.749429,34.996510",31.749429194067204,34.99651036861186,11,77
11,30s,30,"31.743774,34.978470",31.743773935159822,34.97847038539109,11,77
12,30s,30,"31.751515,34.993173",31.751515290773696,34.99317305998724,11,77
13,30s,30,"31.743006,34.975202",31.743006100757764,34.97520165260253,10,70
14,30s,30,"31.748125,34.987085",31.748125011041168,34.98708513362981,10,70
15,30s,30,"31.747763,34.985597",31.74776318506146,34.98559718838486,10,70
16,30s,30,"31.742559,34.977152",31.742559019589006,34.97715161267928,10,70
17,30s,30,"31.750098,34.996621",31.75009756064187,34.996621046186405,10,70
18,30s,30,"31.739084,34.977058",31.739083570219638,34.97705834519998,10,70
19,30s,30,"31.750535,34.991720",31.750535383303497,34.99172034670813,10,70
20,30s,30,"31.740963,34.979220",31.740963022373855,34.97922001645181,9,63
21,30s,30,"31.742207,34.978959",31.742207111654483,34.97895853025457,9,63
22,30s,30,"31.751941,34.992801",31.751940558070032,34.99280070208288,9,63
23,30s,30,"31.743144,34.977422",31.743143909131113,34.97742248033861,9,63
24,30s,30,"31.750648,34.983223",31.75064845507687,34.98322292796886,9,63
25,30s,30,"31.743171,34.976177",31.743170530454716,34.97617668262963,9,63
26,30s,30,"31.754010,34.991519",31.754009617266814,34.991519269032615,9,63
27,30s,30,"31.751952,34.989548",31.751951593805533,34.98954833671126,9,63
28,30s,30,"31.738885,34.979985",31.73888487349117,34.9799850435077,9,63
29,30s,30,"31.753087,34.982043",31.753086899364085,34.98204277051025,9,63
30,30s,30,"31.747938,34.979133",31.747937753371858,34.97913255767098,8,56
31,30s,30,"31.749957,34.995521",31.749957192636643,34.99552050094979,8,56
32,30s,30,"31.748552,34.990039",31.748551945983213,34.99003863889388,8,56
33,30s,30,"31.747828,34.979854",31.747827750909387,34.97985387254434,8,56
34,30s,30,"31.750657,34.994247",31.750656945060275,34.994246789838286,8,56
35,30s,30,"31.748058,34.989071",31.748057836875688,34.98907102602358,8,56
36,30s,30,"31.748299,34.990146",31.748299360501353,34.99014637428412,8,56
37,30s,30,"31.745618,34.993818",31.74561832195922,34.99381816122457,8,56
38,30s,30,"31.742335,34.977091",31.742334564515147,34.97709094486995,7,49
39,30s,30,"31.709496,35.001672",31.709496125968723,35.00167247054951,7,49
40,30s,30,"31.736343,34.981338",31.736342826616873,34.981338200822705,7,49
41,30s,30,"31.752570,34.995823",31.75256951678119,34.995822649417015,7,49
42,30s,30,"31.744458,34.977501",31.74445802044512,34.97750062185627,7,49
43,30s,30,"31.751270,34.995009",31.751270054048653,34.995009210834155,7,49
44,30s,30,"31.738877,34.985387",31.738876983142223,34.98538672491404,7,49
45,30s,30,"31.753558,34.993155",31.75355785621736,34.99315474952405,7,49
46,30s,30,"31.739604,34.981915",31.739603560122987,34.98191463939594,7,49
47,30s,30,"31.748305,34.988716",31.748304811383615,34.9887159329762,7,49
48,30s,30,"31.741861,34.993423",31.74186050316252,34.99342349128868,7,49
49,30s,30,"31.736007,34.977513",31.7360072427825,34.97751263413963,7,49
50,30s,30,"31.743395,34.977450",31.743395165864786,34.97744983661684,6,42
51,30s,30,"31.750970,34.988698",31.7509695249839,34.98869777391208,6,42
52,30s,30,"31.741562,34.978804",31.741561763378435,34.978804045160956,6,42
53,30s,30,"31.744129,34.977178",31.744128813242753,34.9771784557841,6,42
54,30s,30,"31.747522,34.988413",31.747522098688002,34.98841311199221,6,42
55,30s,30,"31.735788,34.979849",31.735787885963905,34.97984878954422,6,42
56,30s,30,"31.744045,34.978440",31.744045232049064,34.978440290897595,6,42
57,30s,30,"31.750630,34.983619",31.75063012238006,34.983618529767234,6,42
58,30s,30,"31.745481,34.989096",31.74548146403701,34.989096312310465,6,42
59,30s,30,"31.741062,34.992439",31.741061917841805,34.99243856699525,6,42
60,30s,30,"31.736601,34.981096",31.736600832427616,34.98109600779409,6,42
61,30s,30,"31.751338,34.982093",31.75133815371941,34.982092907638915,6,42
62,30s,30,"31.745302,34.993954",31.745301670870607,34.99395441665631,6,42
63,30s,30,"31.738186,34.983244",31.738185926733774,34.98324439015662,6,42
64,30s,30,"31.739411,34.977193",31.73941148384021,34.977192573288555,6,42
65,30s,30,"31.745695,34.992334",31.74569498706196,34.99233385002782,6,42
66,30s,30,"31.754243,34.996225",31.75424285834224,34.99622539106499,6,42
67,30s,30,"31.742731,34.976281",31.742731198330322,34.97628126047164,5,35
68,30s,30,"31.736648,34.998300",31.73664847358042,34.99829988868703,5,35
69,30s,30,"31.714049,34.989477",31.71404911020984,34.98947695386468,5,35
70,30s,30,"31.744370,34.978912",31.744370153025276,34.97891209616928,5,35
71,30s,30,"31.743925,34.978132",31.743925134659555,34.978132008713104,5,35
72,30s,30,"31.750169,34.987544",31.750169422091243,34.987543909201655,5,35
73,30s,30,"31.745215,34.975655",31.745214600097842,34.97565527992522,5,35
74,30s,30,"31.746214,34.986858",31.746214036908494,34.98685837594779,5,35
75,30s,30,"31.737050,34.984412",31.737050220901864,34.98441158994555,5,35
76,30s,30,"31.750670,34.995259",31.750670251996823,34.995258718680056,5,35
77,30s,30,"31.743601,34.979358",31.743601148277268,34.97935832444268,5,35
78,30s,30,"31.750465,34.989030",31.750464853831538,34.98902995118788,5,35
79,30s,30,"31.738525,34.993742",31.738525261903455,34.99374174416064,5,35
80,30s,30,"31.740316,34.974836",31.740316043718156,34.97483553909038,5,35
81,30s,30,"31.741063,34.996345",31.741062751321,34.99634462859092,5,35
82,30s,30,"31.711814,35.000514",31.711814345843152,35.00051361558654,5,35
83,30s,30,"31.715736,34.981645",31.715736168662602,34.98164505393019,5,35
84,30s,30,"31.755787,34.993875",31.75578676760494,34.99387535537151,5,35
85,30s,30,"31.754157,34.989823",31.75415712403575,34.98982255209415,5,35
86,30s,30,"31.716144,34.989463",31.716144174414197,34.98946270805534,5,35
87,30s,30,"31.741509,34.978523",31.741508954972524,34.97852322591367,4,28
88,30s,30,"31.736891,34.998411",31.736890824667324,34.998411269594556,4,28
89,30s,30,"31.750194,34.987889",31.750193794190753,34.9878890908354,4,28
90,30s,30,"31.742455,34.979146",31.742454683621414,34.9791460426688,4,28
91,30s,30,"31.752123,34.988374",31.7521226364845,34.98837439716494,4,28
92,30s,30,"31.736016,34.979761",31.736015938345666,34.979760922592746,4,28
