rank,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,buildings,3min,180,"31.743915,34.976715",31.7439149535967,34.976715040710985,0.0,90,630
2,buildings,3min,180,"31.740802,34.979252",31.74080225665082,34.97925179882915,0.0,50,350
3,buildings,3min,180,"31.752326,34.995164",31.752325705305505,34.99516351582357,0.0,38,266
4,buildings,3min,180,"31.740359,34.992099",31.74035854575412,34.99209887187603,0.0,32,224
5,buildings,3min,180,"31.746980,34.990032",31.74697974730338,34.99003228149413,0.0,29,203
6,buildings,3min,180,"31.743583,34.974990",31.743582930047648,34.97498961177864,0.0,28,196
7,buildings,3min,180,"31.739196,34.981869",31.739195894711415,34.981869398964584,0.0,24,168
8,buildings,3min,180,"31.753087,34.982043",31.753086899364085,34.98204277051025,0.0,22,154
9,buildings,3min,180,"31.741548,34.988883",31.741548039151006,34.98888257584948,0.0,21,147
10,buildings,3min,180,"31.750990,34.989012",31.75098955617061,34.98901183331998,0.0,20,140
11,buildings,3min,180,"31.737291,34.984647",31.73729066219115,34.98464677153976,0.0,20,140
12,buildings,3min,180,"31.749994,34.993970",31.749993773354536,34.993970015818256,0.0,18,126
13,buildings,3min,180,"31.753840,34.996499",31.753839598758105,34.996499482239365,0.0,18,126
14,buildings,3min,180,"31.745119,34.976978",31.74511908579804,34.9769775606624,0.0,17,119
15,buildings,3min,180,"31.744449,34.991507",31.744449249368635,34.9915069718832,0.0,17,119
16,buildings,3min,180,"31.747203,34.995738",31.74720287515775,34.99573816457441,0.0,16,112
17,buildings,3min,180,"31.709748,35.001483",31.709747852033008,35.0014832996577,0.0,15,105
18,network_nodes,3min,180,"31.710659,34.995517",31.710658900686795,34.99551729947311,38.62,15,105
19,buildings,3min,180,"31.738540,34.985250",31.738539550614405,34.98525045542428,0.0,14,98
20,buildings,3min,180,"31.738803,34.978934",31.738802510270954,34.978933999355945,0.0,14,98
21,network_nodes,3min,180,"31.713859,34.982903",31.71385890068569,34.98290329947373,42.49,14,98
22,buildings,3min,180,"31.750906,34.996178",31.750906157791,34.99617780489853,0.0,13,91
23,buildings,3min,180,"31.736007,34.977513",31.73600724278252,34.97751263413962,0.0,13,91
24,buildings,3min,180,"31.736683,34.998180",31.736683079165715,34.998179680580364,0.0,13,91
25,buildings,3min,180,"31.737364,34.994600",31.737363962723748,34.99459974454294,0.0,13,91
26,buildings,3min,180,"31.743186,34.984231",31.743185781074445,34.984230874472516,0.0,13,91
27,buildings,3min,180,"31.751580,34.992444",31.751579661699715,34.99244422163854,0.0,11,77
28,buildings,3min,180,"31.742050,34.995845",31.742049593347446,34.99584516688981,0.0,11,77
29,buildings,3min,180,"31.749035,34.996585",31.749035274821736,34.99658463464539,0.0,11,77
30,buildings,3min,180,"31.714049,34.989477",31.714049110209842,34.98947695386468,0.0,11,77
31,network_nodes,3min,180,"31.710567,34.999066",31.71056680068702,34.99906619947298,67.43,11,77
32,buildings,3min,180,"31.747692,34.985350",31.747692308666796,34.9853500997152,0.0,10,70
33,buildings,3min,180,"31.738876,34.975741",31.73887628451647,34.97574055866777,0.0,10,70
34,buildings,3min,180,"31.739900,34.992781",31.73990032772834,34.99278109368506,0.0,9,63
35,buildings,3min,180,"31.754919,34.992963",31.754919006221986,34.99296347452581,0.0,9,63
36,buildings,3min,180,"31.715518,34.998455",31.71551830620081,34.99845458773116,0.0,9,63
37,buildings,3min,180,"31.747800,34.980390",31.747800295442897,34.980390222506095,0.0,8,56
38,network_nodes,3min,180,"31.739730,34.983992",31.739730100683047,34.98399219947558,28.74,8,56
39,network_nodes,3min,180,"31.715265,34.994287",31.71526540068624,34.994287499473465,66.83,8,56
40,network_nodes,3min,180,"31.759076,34.997348",31.759076200681868,34.997348299476535,26.24,8,56
41,network_nodes,3min,180,"31.717130,34.990632",31.717129500685814,34.99063159947372,50.26,8,56
