rank,time_bucket,time_seconds,coordinates,lat,lon,newly_covered_buildings,newly_covered_people_est
1,5min,300,"31.743144,34.977422",31.743143909131113,34.97742248033861,170,1190
2,5min,300,"31.741062,34.992439",31.741061917841805,34.99243856699525,54,378
3,5min,300,"31.740127,34.981046",31.740126621276886,34.98104645777381,43,301
4,5min,300,"31.741833,34.986371",31.741832501990586,34.98637108910028,34,238
5,5min,300,"31.751627,34.995870",31.751627463018032,34.99586955919586,29,203
6,5min,300,"31.736903,34.996074",31.736902626686177,34.996074459041665,25,175
7,5min,300,"31.710932,34.997034",31.710931586086215,34.99703355218713,24,168
8,5min,300,"31.747090,34.996960",31.7470895003499,34.99696047056884,18,126
9,5min,300,"31.742446,34.981565",31.742445511208732,34.98156519480711,17,119
10,5min,300,"31.714857,34.990032",31.714857451110056,34.99003238287859,17,119
11,5min,300,"31.714491,34.984147",31.714491182195673,34.984147275089576,16,112
12,5min,300,"31.744533,34.992566",31.74453327541419,34.99256637655706,15,105
13,5min,300,"31.713161,34.999661",31.713160865888614,34.9996607200601,15,105
14,5min,300,"31.740169,34.983836",31.740168958953667,34.9838359591436,14,98
15,5min,300,"31.716082,34.996384",31.716081595119615,34.99638400220035,14,98
16,5min,300,"31.752281,34.981924",31.752280983206408,34.98192387343892,14,98
17,5min,300,"31.709748,35.001483",31.709747852032997,35.0014832996577,13,91
18,5min,300,"31.743940,34.979753",31.74393970065608,34.97975285039958,11,77
19,5min,300,"31.750691,34.993004",31.750691075169154,34.99300391821754,11,77
20,5min,300,"31.757647,34.996916",31.75764695189774,34.996915632334535,10,70
21,5min,300,"31.728758,34.993121",31.72875756769222,34.993120571645285,10,70
22,5min,300,"31.742288,34.994744",31.742288140280547,34.99474393510358,9,63
23,5min,300,"31.716966,34.991126",31.716966062218876,34.99112613114635,7,49
24,5min,300,"31.736886,34.984037",31.73688627010561,34.98403688004198,6,42
25,5min,300,"31.754058,34.995911",31.754058016624544,34.99591124200594,6,42
26,5min,300,"31.723977,34.992940",31.72397664147378,34.99293983971871,6,42
27,5min,300,"31.747195,34.987663",31.747195406462744,34.987662856446306,6,42
28,5min,300,"31.749852,34.997711",31.749852327082674,34.9977109826584,5,35
29,5min,300,"31.715034,34.993392",31.71503388416536,34.993392133857554,5,35
30,5min,300,"31.737155,34.998532",31.737154756322553,34.99853198594911,5,35
31,5min,300,"31.754157,34.989823",31.75415712403575,34.98982255209415,5,35
32,5min,300,"31.741456,34.978916",31.741456144902546,34.97891622281954,4,28
33,5min,300,"31.708890,34.995610",31.708890435870508,34.99560998567077,4,28
34,5min,300,"31.731402,34.992486",31.731401979573125,34.992486246587056,4,28
35,5min,300,"31.726769,34.978231",31.726769209999528,34.97823055014616,4,28
36,5min,300,"31.733918,34.955058",31.733918390232496,34.95505833016002,4,28
37,5min,300,"31.745091,34.976087",31.74509052404045,34.97608706190484,3,21
38,5min,300,"31.741950,34.989887",31.741949688151447,34.989887214012725,3,21
39,5min,300,"31.711807,34.992241",31.711807268100266,34.992240971298266,3,21
40,5min,300,"31.717714,34.998814",31.717713735210857,34.99881363768304,3,21
41,5min,300,"31.726394,34.993057",31.72639385565044,34.9930566278836,3,21
42,5min,300,"31.742928,34.984060",31.742928461382856,34.98406046772675,2,14
43,5min,300,"31.743433,34.997206",31.743432667928843,34.99720627992131,2,14
44,5min,300,"31.760995,34.996332",31.76099527526547,34.996332116177534,2,14
45,5min,300,"31.722154,34.996065",31.722154496547144,34.9960648344463,2,14
46,5min,300,"31.762931,35.015497",31.762930606856614,35.01549699557728,2,14
47,5min,300,"31.738792,34.955291",31.738791528392483,34.95529134311435,2,14
48,5min,300,"31.739501,34.995345",31.73950106020354,34.99534543235543,1,7
49,5min,300,"31.738612,34.985553",31.738611906909018,34.985553053082896,1,7
50,5min,300,"31.708139,34.998239",31.70813898420704,34.99823926585249,1,7
51,5min,300,"31.715584,35.000026",31.715583737726828,35.00002586837064,1,7
52,5min,300,"31.713856,34.981171",31.71385562089221,34.98117104699005,1,7
53,5min,300,"31.727434,34.995393",31.727434186885535,34.995393045144695,1,7
54,5min,300,"31.749550,34.979641",31.749550473837342,34.9796411929955,1,7
55,5min,300,"31.759676,35.014877",31.759675898699435,35.0148765972048,1,7
56,5min,300,"31.756336,35.007595",31.756335816459583,35.00759451758836,1,7
57,5min,300,"31.728639,34.985848",31.728639148113697,34.98584811269482,1,7
58,5min,300,"31.759172,35.019733",31.759172287078975,35.01973253164501,1,7
59,5min,300,"31.760808,35.009239",31.760807609386134,35.00923914384087,1,7
60,5min,300,"31.734422,34.969793",31.734422082077312,34.96979269282454,1,7
61,5min,300,"31.696946,34.954560",31.696945644375944,34.95456028981562,1,7
