rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,euclidean,exact,exact_point,buildings,5min,300,"31.743395,34.977450",31.743395165864786,34.97744983661684,0.0,111,777
2,euclidean,exact,exact_point,network_nodes,5min,300,"31.751193,34.995575",31.751193100682553,34.99557459947602,17.08,65,455
3,euclidean,exact,exact_point,buildings,5min,300,"31.740472,34.979950",31.740472297547836,34.979950008588105,0.0,55,385
4,euclidean,exact,exact_point,network_nodes,5min,300,"31.740855,34.992446",31.740855000683464,34.99244569947539,22.95,44,308
5,euclidean,exact,exact_point,buildings,5min,300,"31.741971,34.983254",31.741971167267756,34.98325391165847,0.0,41,287
6,euclidean,exact,exact_point,network_nodes,5min,300,"31.737723,34.983001",31.737723300683204,34.98300099947548,42.44,35,245
7,euclidean,exact,exact_point,buildings,5min,300,"31.744429,34.975033",31.744428845997362,34.97503286136947,0.0,34,238
8,euclidean,exact,exact_point,buildings,5min,300,"31.745467,34.992486",31.74546732704614,34.99248594502247,0.0,34,238
9,euclidean,exact,exact_point,buildings,5min,300,"31.738482,34.994484",31.73848229725798,34.99448447322641,0.0,29,203
10,euclidean,exact,exact_point,network_nodes,5min,300,"31.748330,34.996027",31.748330400682867,34.996027099475796,55.87,25,175
11,euclidean,exact,exact_point,network_nodes,5min,300,"31.710664,34.995581",31.7106641006868,34.99558089947309,44.38,25,175
12,euclidean,exact,exact_point,buildings,5min,300,"31.714913,34.989770",31.714912982869848,34.98977000000315,0.0,22,154
13,euclidean,exact,exact_point,buildings,5min,300,"31.711184,35.001258",31.71118360359988,35.00125824063053,0.0,21,147
14,euclidean,exact,exact_point,network_nodes,5min,300,"31.736168,34.997303",31.736167700684238,34.99730269947488,31.4,20,140
15,euclidean,exact,exact_point,buildings,5min,300,"31.743742,34.980097",31.743741970041285,34.98009747450501,0.0,19,133
16,euclidean,exact,exact_point,network_nodes,5min,300,"31.714642,34.982776",31.7146416006856,34.98277619947382,79.78,17,119
17,euclidean,exact,exact_point,buildings,5min,300,"31.740966,34.995734",31.740966298570857,34.99573443808277,0.0,16,112
18,euclidean,exact,exact_point,network_nodes,5min,300,"31.716006,34.998259",31.716005600686405,34.99825859947338,57.14,16,112
19,euclidean,exact,exact_point,buildings,5min,300,"31.715034,34.993392",31.71503388416536,34.993392133857554,0.0,13,91
20,euclidean,exact,exact_point,network_nodes,5min,300,"31.739191,34.985543",31.73919123523243,34.985542952923325,22.57,13,91
21,euclidean,exact,exact_point,network_nodes,5min,300,"31.709480,34.999920",31.709480000687194,34.999920199472854,71.17,12,84
22,euclidean,exact,exact_point,network_nodes,5min,300,"31.727797,34.993625",31.72779700068489,34.993624599474394,76.3,11,77
23,euclidean,exact,exact_point,buildings,5min,300,"31.742571,34.987899",31.742570554687465,34.98789862957376,0.0,10,70
24,euclidean,exact,exact_point,buildings,5min,300,"31.758230,34.997475",31.758230415670727,34.99747513017468,0.0,10,70
