rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,exact,exact_point,network_nodes,5min,300,"31.742723,34.977287",31.742722773711666,34.97728699319839,22.23,41,287
2,graph,exact,exact_point,network_nodes,5min,300,"31.747829,34.989766",31.747829100682576,34.989765999475964,23.72,31,217
3,graph,exact,exact_point,network_nodes,5min,300,"31.744067,34.975060",31.74406710068204,34.97506029947619,24.93,29,203
4,graph,exact,exact_point,network_nodes,5min,300,"31.741466,34.979247",31.74146590068259,34.979246599475864,26.12,29,203
5,graph,exact,exact_point,network_nodes,5min,300,"31.744395,34.978229",31.744395000682225,34.978228999476116,30.66,29,203
6,graph,exact,exact_point,network_nodes,5min,300,"31.753040,34.993792",31.753039900682264,34.99379209947622,20.85,23,161
7,graph,exact,exact_point,network_nodes,5min,300,"31.736522,34.982894",31.736522100683313,34.98289449947538,34.47,20,140
8,graph,exact,exact_point,network_nodes,5min,300,"31.750559,34.995590",31.750559200682638,34.995589899475966,33.71,20,140
9,graph,exact,exact_point,network_nodes,5min,300,"31.740855,34.992446",31.740855000683464,34.99244569947539,22.95,19,133
10,graph,exact,exact_point,network_nodes,5min,300,"31.743668,34.978853",31.7436678111129,34.97885326339914,22.84,19,133
11,graph,exact,exact_point,network_nodes,5min,300,"31.739648,34.977865",31.739647500682704,34.977864699475774,26.62,18,126
12,graph,exact,exact_point,network_nodes,5min,300,"31.748385,34.987304",31.74838503411562,34.9873039606831,18.05,18,126
13,graph,exact,exact_point,network_nodes,5min,300,"31.744733,34.976026",31.74473290068205,34.976025699476196,32.42,16,112
14,graph,exact,exact_point,network_nodes,5min,300,"31.741887,34.988696",31.7418873385035,34.988696482656216,18.56,14,98
15,graph,exact,exact_point,network_nodes,5min,300,"31.737997,34.978405",31.737997100682904,34.97840519947565,29.68,13,91
