rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,exact,exact_point,network_nodes,5min,300,"31.711861,35.005117",31.711860600687267,35.00511669947288,13.67,24,168
2,graph,exact,exact_point,buildings,5min,300,"31.729039,34.995974",31.729039221771405,34.99597430982497,0.0,18,126
3,graph,exact,exact_point,network_nodes,5min,300,"31.710664,34.995581",31.7106641006868,34.99558089947309,40.56,17,119
4,graph,exact,exact_point,buildings,5min,300,"31.738070,34.999314",31.738069727944264,34.999313982527475,0.0,15,105
5,graph,exact,exact_point,network_nodes,5min,300,"31.724867,34.976527",31.72486680068417,34.97652709947475,23.94,15,105
6,graph,exact,exact_point,buildings,5min,300,"31.709652,34.992399",31.709651669788435,34.99239856291334,0.0,13,91
7,graph,exact,exact_point,buildings,5min,300,"31.742614,34.993687",31.742614026024878,34.993687165264134,0.0,12,84
8,graph,exact,exact_point,buildings,5min,300,"31.753298,34.994846",31.75329755072876,34.994846003071515,0.0,12,84
9,graph,exact,exact_point,buildings,5min,300,"31.753628,34.987264",31.753627876402295,34.98726424468476,0.0,12,84
10,graph,exact,exact_point,buildings,5min,300,"31.704480,34.979225",31.704480175472792,34.97922457712989,0.0,11,77
11,graph,exact,exact_point,buildings,5min,300,"31.750345,34.999009",31.750345441866518,34.999009271048976,0.0,11,77
12,graph,exact,exact_point,buildings,5min,300,"31.750463,34.995481",31.750462601512535,34.99548074772772,0.0,11,77
13,graph,exact,exact_point,network_nodes,5min,300,"31.744222,34.976600",31.74422230068214,34.97660009947615,34.01,11,77
14,graph,exact,exact_point,network_nodes,5min,300,"31.713194,34.998927",31.713194300686734,34.99892739947317,37.95,11,77
15,graph,exact,exact_point,network_nodes,5min,300,"31.708765,34.995409",31.708764600686983,34.99540909947297,38.19,11,77
16,graph,exact,exact_point,network_nodes,5min,300,"31.716306,34.994378",31.716305600686148,34.994377999473535,35.22,11,77
17,graph,exact,exact_point,network_nodes,5min,300,"31.713780,34.989356",31.713780300686114,34.989356199473534,24.97,11,77
18,graph,exact,exact_point,buildings,5min,300,"31.713415,34.986834",31.713415009215577,34.98683371559819,0.0,10,70
19,graph,exact,exact_point,buildings,5min,300,"31.747190,34.999398",31.747189521309263,34.99939780963424,0.0,10,70
20,graph,exact,exact_point,buildings,5min,300,"31.728554,34.996288",31.728554143641112,34.99628846934014,0.0,10,70
21,graph,exact,exact_point,buildings,5min,300,"31.752580,34.993156",31.752579711988563,34.993156218528746,0.0,10,70
22,graph,exact,exact_point,buildings,5min,300,"31.735946,34.987630",31.73594638537045,34.987629945415414,0.0,10,70
23,graph,exact,exact_point,buildings,5min,300,"31.715618,34.992476",31.715617824528415,34.99247602842081,0.0,10,70
24,graph,exact,exact_point,buildings,5min,300,"31.715447,34.988809",31.71544726147114,34.98880879967056,0.0,10,70
25,graph,exact,exact_point,buildings,5min,300,"31.702900,34.991990",31.702900293538217,34.99199033112233,0.0,10,70
26,graph,exact,exact_point,buildings,5min,300,"31.750597,34.982964",31.750596744760905,34.98296399566123,0.0,9,63
27,graph,exact,exact_point,buildings,5min,300,"31.732352,34.991246",31.73235233727054,34.99124590050593,0.0,9,63
28,graph,exact,exact_point,network_nodes,5min,300,"31.742964,34.998713",31.74296440068362,34.99871299947533,19.02,9,63
29,graph,exact,exact_point,buildings,5min,300,"31.739528,34.993795",31.73952778988602,34.99379462441172,0.0,8,56
30,graph,exact,exact_point,buildings,5min,300,"31.730538,34.993675",31.730537522895705,34.9936750507269,0.0,8,56
31,graph,exact,exact_point,buildings,5min,300,"31.737939,34.999151",31.737939307261463,34.99915062201137,0.0,8,56
32,graph,exact,exact_point,buildings,5min,300,"31.725381,34.992726",31.725380580030876,34.99272554262479,0.0,8,56
33,graph,exact,exact_point,buildings,5min,300,"31.703221,34.995769",31.70322083274876,34.995768703878596,0.0,8,56
34,graph,exact,exact_point,network_nodes,5min,300,"31.717130,34.990632",31.71712950068582,34.99063159947372,21.92,8,56
35,graph,exact,exact_point,network_nodes,5min,300,"31.716002,35.000827",31.71600160068656,35.00082749947331,16.01,8,56
36,graph,exact,exact_point,buildings,5min,300,"31.744208,34.989555",31.744207812000965,34.98955514696689,0.0,7,49
37,graph,exact,exact_point,buildings,5min,300,"31.709337,34.996925",31.70933664878798,34.99692543970812,0.0,7,49
38,graph,exact,exact_point,buildings,5min,300,"31.712586,34.990612",31.71258564223711,34.99061248671345,0.0,7,49
39,graph,exact,exact_point,buildings,5min,300,"31.734470,34.991651",31.734469522062877,34.9916505414623,0.0,7,49
40,graph,exact,exact_point,buildings,5min,300,"31.737682,35.000689",31.737682453964194,35.00068935004634,0.0,7,49
41,graph,exact,exact_point,buildings,5min,300,"31.698672,34.974533",31.69867223549347,34.97453295140168,0.0,7,49
42,graph,exact,exact_point,network_nodes,5min,300,"31.707787,34.982256",31.70778720068629,34.98225589947332,50.27,7,49
43,graph,exact,exact_point,network_nodes,5min,300,"31.710302,34.999234",31.71030150068706,34.99923359947294,15.2,7,49
44,graph,exact,exact_point,buildings,5min,300,"31.714433,34.990626",31.714433186520036,34.99062553976375,0.0,6,42
45,graph,exact,exact_point,buildings,5min,300,"31.751211,34.992811",31.751211048651953,34.992811184900056,0.0,6,42
46,graph,exact,exact_point,buildings,5min,300,"31.736187,34.991255",31.736187457464652,34.99125499163301,0.0,6,42
47,graph,exact,exact_point,buildings,5min,300,"31.718925,34.986914",31.718924795221874,34.986913929046544,0.0,6,42
48,graph,exact,exact_point,network_nodes,5min,300,"31.743606,34.977915",31.74360550068228,34.97791519947607,50.47,6,42
49,graph,exact,exact_point,network_nodes,5min,300,"31.729305,34.993252",31.729304600684717,34.99325239947452,42.14,6,42
50,graph,exact,exact_point,network_nodes,5min,300,"31.709110,34.960908",31.70910950068484,34.96090829947413,75.04,6,42
51,graph,exact,exact_point,network_nodes,5min,300,"31.713608,34.967508",31.713607800684777,34.967507999474236,24.78,6,42
52,graph,exact,exact_point,network_nodes,5min,300,"31.698227,34.976181",31.698227300686916,34.976180699472835,63.64,6,42
53,graph,exact,exact_point,buildings,5min,300,"31.740919,34.986591",31.74091887694046,34.98659128317619,0.0,5,35
54,graph,exact,exact_point,buildings,5min,300,"31.747993,35.001233",31.747993396944693,35.00123285659884,0.0,5,35
55,graph,exact,exact_point,buildings,5min,300,"31.747226,34.983460",31.747226260158662,34.98346014989716,0.0,5,35
56,graph,exact,exact_point,buildings,5min,300,"31.726394,34.993057",31.726393853673724,34.9930566294541,0.0,5,35
57,graph,exact,exact_point,buildings,5min,300,"31.739260,34.995698",31.739260238359346,34.99569848346839,0.0,5,35
58,graph,exact,exact_point,buildings,5min,300,"31.746406,34.989783",31.746406223289966,34.989782925942265,0.0,5,35
59,graph,exact,exact_point,buildings,5min,300,"31.709722,34.993370",31.709721619117566,34.99336999185842,0.0,5,35
60,graph,exact,exact_point,buildings,5min,300,"31.723405,34.991965",31.723404881066074,34.9919654750553,0.0,5,35
61,graph,exact,exact_point,buildings,5min,300,"31.715477,34.988595",31.715477467592606,34.988595382344954,0.0,5,35
62,graph,exact,exact_point,buildings,5min,300,"31.745312,34.990237",31.74531170665046,34.99023746889249,0.0,5,35
63,graph,exact,exact_point,buildings,5min,300,"31.746843,34.983208",31.746842682921528,34.98320822660831,0.0,5,35
64,graph,exact,exact_point,buildings,5min,300,"31.740763,34.984160",31.74076312567569,34.98416009735796,0.0,5,35
65,graph,exact,exact_point,network_nodes,5min,300,"31.749551,34.978805",31.749550900681704,34.97880459947646,66.76,5,35
