rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,exact,exact_point,network_nodes,5min,300,"31.736522,34.982894",31.73652210068332,34.98289449947538,8.81,39,273
2,graph,exact,exact_point,network_nodes,5min,300,"31.747302,34.989528",31.74730160068259,34.98952839947594,19.39,30,210
3,graph,exact,exact_point,network_nodes,5min,300,"31.728067,34.994176",31.728067100684914,34.99417609947438,16.09,27,189
4,graph,exact,exact_point,buildings,5min,300,"31.711870,35.004603",31.711869774366612,35.004602949794396,0.0,25,175
5,graph,exact,exact_point,network_nodes,5min,300,"31.753384,34.993946",31.753384000682228,34.99394569947623,25.15,25,175
6,graph,exact,exact_point,network_nodes,5min,300,"31.710161,34.993131",31.710161200686702,34.99313099947314,47.73,23,161
7,graph,exact,exact_point,buildings,5min,300,"31.747441,34.984221",31.74744094290158,34.98422140309832,0.0,21,147
8,graph,exact,exact_point,network_nodes,5min,300,"31.714025,34.985316",31.714025200685818,34.98531569947368,22.64,21,147
9,graph,exact,exact_point,network_nodes,5min,300,"31.751233,34.995680",31.751233197030402,34.99568008750114,13.12,21,147
10,graph,exact,exact_point,network_nodes,5min,300,"31.745082,34.988775",31.74508182966716,34.98877490726719,22.58,20,140
11,graph,exact,exact_point,network_nodes,5min,300,"31.744222,34.976600",31.74422230068214,34.97660009947615,25.91,18,126
12,graph,exact,exact_point,network_nodes,5min,300,"31.707443,34.981951",31.707442900686292,34.98195119947331,29.23,18,126
13,graph,exact,exact_point,network_nodes,5min,300,"31.748382,34.987087",31.74838170068234,34.98708749947611,19.9,17,119
14,graph,exact,exact_point,network_nodes,5min,300,"31.753547,34.991031",31.753546600682043,34.99103149947635,14.91,17,119
15,graph,exact,exact_point,network_nodes,5min,300,"31.713183,34.999500",31.713183100686777,34.99949979947315,36.52,17,119
16,graph,exact,exact_point,network_nodes,5min,300,"31.704483,34.979767",31.704483409236836,34.979767387019045,22.65,17,119
17,graph,exact,exact_point,buildings,5min,300,"31.712830,34.989939",31.712830328606934,34.98993923776063,0.0,16,112
18,graph,exact,exact_point,network_nodes,5min,300,"31.752045,34.980947",31.752045000681605,34.980947299476576,26.0,16,112
19,graph,exact,exact_point,network_nodes,5min,300,"31.743168,34.998801",31.7431679006836,34.998801199475345,31.57,16,112
20,graph,exact,exact_point,buildings,5min,300,"31.716302,34.999427",31.716302411911048,34.99942724941363,0.0,15,105
21,graph,exact,exact_point,network_nodes,5min,300,"31.736439,34.987743",31.736439400683633,34.987743199475204,52.13,15,105
22,graph,exact,exact_point,network_nodes,5min,300,"31.710491,34.995850",31.71049060068684,34.99584989947307,16.11,15,105
23,graph,exact,exact_point,network_nodes,5min,300,"31.743967,34.975225",31.74396736570403,34.97522549066541,33.86,15,105
24,graph,exact,exact_point,buildings,5min,300,"31.737286,34.948818",31.737285534371054,34.948818226405876,0.0,14,98
25,graph,exact,exact_point,network_nodes,5min,300,"31.739111,34.978200",31.73911090068277,34.97819999947571,20.59,14,98
26,graph,exact,exact_point,network_nodes,5min,300,"31.717165,34.989966",31.717164900685777,34.98996649947375,51.95,14,98
27,graph,exact,exact_point,network_nodes,5min,300,"31.751235,34.989454",31.751235293759105,34.98945364607324,20.05,14,98
28,graph,exact,exact_point,buildings,5min,300,"31.750360,34.982700",31.75035968419798,34.982699657410855,0.0,13,91
29,graph,exact,exact_point,buildings,5min,300,"31.747190,34.999398",31.74718952323155,34.99939780803623,0.0,13,91
30,graph,exact,exact_point,buildings,5min,300,"31.746352,34.989740",31.7463516110818,34.98973989671742,0.0,13,91
31,graph,exact,exact_point,buildings,5min,300,"31.742883,34.993568",31.74288283843439,34.993567676004474,0.0,13,91
32,graph,exact,exact_point,buildings,5min,300,"31.738971,34.986360",31.73897081407565,34.98636014196963,0.0,13,91
33,graph,exact,exact_point,buildings,5min,300,"31.716165,35.001054",31.716164847073173,35.001053508315266,0.0,13,91
34,graph,exact,exact_point,buildings,5min,300,"31.716007,34.994097",31.71600723376996,34.99409679741317,0.0,13,91
35,graph,exact,exact_point,network_nodes,5min,300,"31.741953,34.978561",31.741953400682497,34.97856129947592,22.66,13,91
36,graph,exact,exact_point,network_nodes,5min,300,"31.735008,34.991363",31.735007600684003,34.99136279947499,57.48,13,91
37,graph,exact,exact_point,network_nodes,5min,300,"31.705542,34.986976",31.705542200686804,34.98697619947301,32.8,13,91
38,graph,exact,exact_point,network_nodes,5min,300,"31.753111,34.986599",31.753111200681825,34.986599199476466,27.02,12,84
39,graph,exact,exact_point,network_nodes,5min,300,"31.736288,34.999605",31.73628810068436,34.99960539947481,71.29,12,84
40,graph,exact,exact_point,network_nodes,5min,300,"31.724867,34.976527",31.72486680068417,34.97652709947475,23.94,12,84
