rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.712019,35.004514",31.712019296501573,35.00451432702715,8.69,28,196
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.753237,34.994067",31.75323692246233,34.99406672841568,37.52,50,350
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.710733,34.996120",31.710733395485548,34.99612024941119,16.16,19,133
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.742835,34.998411",31.742834702833516,34.99841123026104,9.23,26,182
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.741980,34.992999",31.741980083552754,34.99299900914942,26.87,25,175
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.747876,34.990374",31.74787620535504,34.990374127547035,23.08,28,196
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.721872,34.978624",31.72187168521233,34.97862374253761,10.31,18,126
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.713238,34.999132",31.7132383444167,34.99913235139674,38.72,13,91
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.713315,34.988952",31.713315365271754,34.98895244075924,78.18,54,378
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.704459,34.979373",31.704459310147136,34.97937302893508,4.1,18,126
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.747823,34.999960",31.7478230933621,34.99995952506269,8.87,22,154
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.737622,35.000205",31.737622495774232,35.00020471204304,2.82,27,189
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.728523,34.995257",31.728522519550953,34.99525742725391,22.78,31,217
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.750707,34.982897",31.750707419408176,34.982896530269926,13.84,20,140
15,graph,cluster,area_center,cluster_candidates,5min,300,"31.702882,35.005094",31.702882144701935,35.0050939436738,27.67,11,77
16,graph,cluster,area_center,cluster_candidates,5min,300,"31.724663,34.975954",31.724662819138988,34.97595425249176,11.81,24,168
17,graph,cluster,area_center,cluster_candidates,5min,300,"31.699215,35.006065",31.699214571756112,35.0060653595686,33.9,14,98
18,graph,cluster,area_center,cluster_candidates,5min,300,"31.744561,34.976599",31.744561199950166,34.976598723815194,16.91,17,119
19,graph,cluster,area_center,cluster_candidates,5min,300,"31.709709,34.961283",31.709708702060922,34.961282943469115,60.96,11,77
20,graph,cluster,area_center,cluster_candidates,5min,300,"31.716086,34.995023",31.716086042594757,34.99502329997909,50.76,23,161
