rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.736969,34.983852",31.736969440922678,34.9838517324247,7.36,31,217
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.748589,34.987451",31.748588669161435,34.987451356038136,30.69,31,217
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.752143,34.980887",31.75214295006845,34.980887357917815,16.39,35,245
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.737137,34.948967",31.73713679969733,34.94896712201116,13.45,17,119
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.739057,34.986542",31.739056658809233,34.986541640794236,19.66,27,189
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.713006,34.989770",31.71300599308386,34.98977018633937,25.02,36,252
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.753516,34.990312",31.753516101052902,34.99031239875162,17.74,50,350
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.697549,34.976077",31.69754917459323,34.97607679312319,16.27,12,84
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.716595,35.001222",31.71659544824865,35.001221652334586,23.55,18,126
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.748247,34.984553",31.748246754141356,34.984552648018365,20.17,32,224
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.753237,34.987017",31.75323677667905,34.98701723693546,9.68,36,252
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.717164,34.990361",31.71716361998206,34.9903614033311,34.62,14,98
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.699439,34.974035",31.699438899035318,34.97403490093875,12.45,16,112
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.749073,34.996486",31.749072579464315,34.996486392767295,18.47,29,203
15,graph,cluster,area_center,cluster_candidates,5min,300,"31.743653,34.978329",31.743652591516383,34.97832852431633,35.5,20,140
16,graph,cluster,area_center,cluster_candidates,5min,300,"31.750697,34.989613",31.750696765482548,34.98961252287772,23.92,41,287
17,graph,cluster,area_center,cluster_candidates,5min,300,"31.746344,34.987371",31.746344461714546,34.987370878010516,18.6,26,182
18,graph,cluster,area_center,cluster_candidates,5min,300,"31.747170,34.989521",31.74716991240013,34.989521224224546,18.27,44,308
19,graph,cluster,area_center,cluster_candidates,5min,300,"31.715022,34.982529",31.71502225041675,34.98252925004796,15.57,21,147
20,graph,cluster,area_center,cluster_candidates,5min,300,"31.699215,35.006065",31.69921457355734,35.00606535796571,33.9,14,98
21,graph,cluster,area_center,cluster_candidates,5min,300,"31.709819,34.961131",31.70981914169066,34.961130636290704,53.85,10,70
22,graph,cluster,area_center,cluster_candidates,5min,300,"31.721645,34.978720",31.721644777695058,34.97871955600946,36.94,17,119
23,graph,cluster,area_center,cluster_candidates,5min,300,"31.713268,34.999497",31.713268026401487,34.99949657762858,28.49,20,140
24,graph,cluster,area_center,cluster_candidates,5min,300,"31.700951,34.969949",31.70095098323456,34.96994900622281,50.63,19,133
25,graph,cluster,area_center,cluster_candidates,5min,300,"31.713806,34.963258",31.713805965705973,34.96325774844843,29.76,9,63
26,graph,cluster,area_center,cluster_candidates,5min,300,"31.724541,34.975846",31.724540507613955,34.975845904166974,7.46,20,140
27,graph,cluster,area_center,cluster_candidates,5min,300,"31.709652,35.001120",31.709651988138717,35.00112035085434,12.37,21,147
28,graph,cluster,area_center,cluster_candidates,5min,300,"31.708281,34.995271",31.708281240895474,34.99527077661523,13.33,16,112
29,graph,cluster,area_center,cluster_candidates,5min,300,"31.712708,34.987221",31.712707828042067,34.98722075987439,44.55,21,147
30,graph,cluster,area_center,cluster_candidates,5min,300,"31.741856,34.978443",31.741855633826653,34.97844294962168,28.84,27,189
31,graph,cluster,area_center,cluster_candidates,5min,300,"31.701672,34.968399",31.701671929135127,34.9683985349402,64.12,16,112
32,graph,cluster,area_center,cluster_candidates,5min,300,"31.711441,34.988458",31.711440508199612,34.988458499247265,8.55,15,105
33,graph,cluster,area_center,cluster_candidates,5min,300,"31.713960,34.977433",31.713959624343442,34.97743332340002,12.6,5,35
34,graph,cluster,area_center,cluster_candidates,5min,300,"31.760926,34.994190",31.760926206592693,34.99419040309139,10.08,23,161
35,graph,cluster,area_center,cluster_candidates,5min,300,"31.757531,34.998384",31.757530834917212,34.99838438115109,43.98,9,63
36,graph,cluster,area_center,cluster_candidates,5min,300,"31.759726,34.996313",31.75972581210421,34.996312551075825,29.21,11,77
37,graph,cluster,area_center,cluster_candidates,5min,300,"31.754433,34.989459",31.754432935117837,34.989458714062145,12.52,30,210
38,graph,cluster,area_center,cluster_candidates,5min,300,"31.750170,34.979840",31.750170443380227,34.979839714917524,35.66,21,147
39,graph,cluster,area_center,cluster_candidates,5min,300,"31.738736,34.979951",31.738736489019352,34.97995124465229,21.75,26,182
40,graph,cluster,area_center,cluster_candidates,5min,300,"31.739546,34.949754",31.73954617899809,34.94975446192892,41.16,12,84
41,graph,cluster,area_center,cluster_candidates,5min,300,"31.750558,34.993911",31.750558407857127,34.993911311586665,16.2,32,224
42,graph,cluster,area_center,cluster_candidates,5min,300,"31.747299,34.988018",31.747298812442263,34.98801830035976,13.46,72,504
43,graph,cluster,area_center,cluster_candidates,5min,300,"31.738676,34.955873",31.738675728324,34.955873354603256,56.63,10,70
44,graph,cluster,area_center,cluster_candidates,5min,300,"31.703639,34.961921",31.70363859764148,34.96192053141824,22.28,8,56
45,graph,cluster,area_center,cluster_candidates,5min,300,"31.713967,34.984731",31.71396654023446,34.98473065438085,33.06,25,175
46,graph,cluster,area_center,cluster_candidates,5min,300,"31.701411,34.987067",31.701410642205634,34.987066503950224,30.24,5,35
47,graph,cluster,area_center,cluster_candidates,5min,300,"31.755299,34.984144",31.75529915694191,34.98414425723429,30.2,5,35
48,graph,cluster,area_center,cluster_candidates,5min,300,"31.734718,34.951199",31.73471776535538,34.9511985205565,40.9,13,91
49,graph,cluster,area_center,cluster_candidates,5min,300,"31.768391,34.991088",31.76839140947851,34.99108775430537,25.24,9,63
50,graph,cluster,area_center,cluster_candidates,5min,300,"31.746213,34.996801",31.74621275630548,34.99680139673047,22.38,13,91
51,graph,cluster,area_center,cluster_candidates,5min,300,"31.736307,34.987876",31.736306621525106,34.98787561020422,56.49,24,168
52,graph,cluster,area_center,cluster_candidates,5min,300,"31.707689,34.966956",31.70768941648219,34.96695633147923,26.39,16,112
53,graph,cluster,area_center,cluster_candidates,5min,300,"31.746081,34.993127",31.74608139806937,34.99312746480096,54.54,21,147
54,graph,cluster,area_center,cluster_candidates,5min,300,"31.707071,34.960879",31.70707099029726,34.96087925464468,21.45,17,119
55,graph,cluster,area_center,cluster_candidates,5min,300,"31.739370,34.982243",31.739370063394887,34.98224308869871,16.98,19,133
56,graph,cluster,area_center,cluster_candidates,5min,300,"31.698340,34.975181",31.698340359468542,34.97518061002054,53.67,24,168
57,graph,cluster,area_center,cluster_candidates,5min,300,"31.707985,34.980967",31.707985296102677,34.980966874371774,5.0,15,105
58,graph,cluster,area_center,cluster_candidates,5min,300,"31.711965,35.004406",31.711964589382944,35.00440622243969,18.39,30,210
59,graph,cluster,area_center,cluster_candidates,5min,300,"31.736277,34.981875",31.736277467873624,34.98187476159253,34.91,35,245
60,graph,cluster,area_center,cluster_candidates,5min,300,"31.760956,35.015187",31.760955675572333,35.01518679136675,4.79,20,140
61,graph,cluster,area_center,cluster_candidates,5min,300,"31.719846,34.982911",31.719845788573753,34.9829105340686,16.84,12,84
62,graph,cluster,area_center,cluster_candidates,5min,300,"31.716487,34.998887",31.71648661987484,34.99888700933738,21.45,32,224
63,graph,cluster,area_center,cluster_candidates,5min,300,"31.755372,34.993422",31.755372469090357,34.99342160054678,26.43,21,147
64,graph,cluster,area_center,cluster_candidates,5min,300,"31.707727,34.969334",31.70772723559126,34.969334355843415,34.45,17,119
65,graph,cluster,area_center,cluster_candidates,5min,300,"31.758508,34.997061",31.75850789159344,34.997061333625254,49.84,10,70
66,graph,cluster,area_center,cluster_candidates,5min,300,"31.713151,34.967195",31.713150662465196,34.96719498164104,25.57,20,140
67,graph,cluster,area_center,cluster_candidates,5min,300,"31.737383,34.956212",31.737383262930564,34.9562116819675,66.15,11,77
68,graph,cluster,area_center,cluster_candidates,5min,300,"31.748572,34.989448",31.748571824356507,34.98944807940192,10.37,53,371
