rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.698340,34.975181",31.698340359468542,34.97518061002054,53.67,24,168
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.700951,34.969949",31.70095098323456,34.96994900622281,50.63,19,133
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.713151,34.967195",31.713150662465196,34.96719498164104,25.57,20,140
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.711333,34.965157",31.71133260593059,34.96515659299828,38.55,22,154
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.717164,34.990361",31.71716361998206,34.9903614033311,34.62,14,98
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.702580,34.973342",31.702580477642375,34.97334160487719,22.78,19,133
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.707556,34.965694",31.707556410408863,34.965693609479764,51.61,15,105
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.702979,34.966319",31.70297850162593,34.966319056855156,65.77,14,98
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.739057,34.986542",31.739056658809233,34.986541640794236,19.66,27,189
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.748589,34.987451",31.748588669161435,34.987451356038136,30.69,31,217
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.715022,34.982529",31.71502225041675,34.98252925004796,15.57,21,147
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.750697,34.989613",31.750696765482548,34.98961252287772,23.92,41,287
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.716487,34.998887",31.71648661987484,34.99888700933738,21.45,32,224
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.750558,34.993911",31.750558407857127,34.993911311586665,16.2,32,224
15,graph,cluster,area_center,cluster_candidates,5min,300,"31.736307,34.987876",31.736306621525106,34.98787561020422,56.49,24,168
16,graph,cluster,area_center,cluster_candidates,5min,300,"31.737137,34.948967",31.73713679969733,34.94896712201116,13.45,17,119
17,graph,cluster,area_center,cluster_candidates,5min,300,"31.716021,34.988546",31.716021130786675,34.988546194643824,26.84,19,133
18,graph,cluster,area_center,cluster_candidates,5min,300,"31.715033,34.995862",31.715033494178844,34.995862128824,39.01,9,63
19,graph,cluster,area_center,cluster_candidates,5min,300,"31.740035,34.992656",31.740034883677644,34.99265581522689,39.98,27,189
20,graph,cluster,area_center,cluster_candidates,5min,300,"31.750146,34.995556",31.750146122449543,34.99555570111492,23.2,42,294
21,graph,cluster,area_center,cluster_candidates,5min,300,"31.724541,34.975846",31.724540507613955,34.975845904166974,7.46,20,140
22,graph,cluster,area_center,cluster_candidates,5min,300,"31.749707,34.988571",31.7497074857117,34.98857140669761,25.84,36,252
23,graph,cluster,area_center,cluster_candidates,5min,300,"31.714175,34.990249",31.714174773790738,34.99024929797476,3.86,25,175
24,graph,cluster,area_center,cluster_candidates,5min,300,"31.739546,34.949754",31.73954617899809,34.94975446192892,41.16,12,84
25,graph,cluster,area_center,cluster_candidates,5min,300,"31.716245,34.994607",31.716244710533367,34.99460686254032,36.38,20,140
26,graph,cluster,area_center,cluster_candidates,5min,300,"31.734718,34.951199",31.73471776535538,34.9511985205565,40.9,13,91
27,graph,cluster,area_center,cluster_candidates,5min,300,"31.704673,35.000930",31.704673083716656,35.00092963011979,59.37,12,84
