rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,euclidean,exact,exact_point,network_nodes,5min,300,"31.742037,34.987964",31.742037075560003,34.98796374967478,18.16,14,98
2,euclidean,exact,exact_point,buildings,5min,300,"31.740036,34.993143",31.740036292959488,34.99314261850727,0.0,12,84
3,euclidean,exact,exact_point,buildings,5min,300,"31.739326,34.995997",31.73932571154893,34.99599660340506,0.0,9,63
4,euclidean,exact,exact_point,buildings,5min,300,"31.749409,34.995166",31.74940864287038,34.995166183891314,0.0,20,140
5,euclidean,exact,exact_point,buildings,5min,300,"31.741291,34.982431",31.741290780541778,34.98243141908505,0.0,7,49
6,euclidean,exact,exact_point,buildings,5min,300,"31.742446,34.981565",31.742445511208732,34.981565194807104,0.0,8,56
7,euclidean,exact,exact_point,buildings,5min,300,"31.711207,34.996956",31.71120656579044,34.996956040736784,0.0,8,56
8,euclidean,exact,exact_point,buildings,5min,300,"31.744805,34.992611",31.744804690102658,34.9926112067817,0.0,9,63
9,euclidean,exact,exact_point,network_nodes,5min,300,"31.751371,34.993215",31.751371400682398,34.99321489947611,16.44,19,133
10,euclidean,exact,exact_point,buildings,5min,300,"31.742016,34.993279",31.74201644763134,34.993279397355224,0.0,10,70
11,euclidean,exact,exact_point,buildings,5min,300,"31.726394,34.993057",31.726393855650432,34.993056627883604,0.0,4,28
12,euclidean,exact,exact_point,buildings,5min,300,"31.736756,34.980795",31.73675570019904,34.98079521447108,0.0,8,56
13,euclidean,exact,exact_point,network_nodes,5min,300,"31.737466,34.994753",31.737465966015648,34.99475301040798,18.41,5,35
14,euclidean,exact,exact_point,network_nodes,5min,300,"31.711352,34.994733",31.711352300686677,34.994732699473175,24.87,6,42
15,euclidean,exact,exact_point,network_nodes,5min,300,"31.741860,34.984546",31.741859500682875,34.9845455994757,36.23,7,49
16,euclidean,exact,exact_point,network_nodes,5min,300,"31.713859,34.982903",31.71385890068569,34.98290329947373,42.49,4,28
17,euclidean,exact,exact_point,buildings,5min,300,"31.741382,34.989250",31.741382278557964,34.9892497106226,0.0,5,35
18,euclidean,exact,exact_point,buildings,5min,300,"31.714320,34.989863",31.71431988606946,34.989862690973695,0.0,12,84
19,euclidean,exact,exact_point,network_nodes,5min,300,"31.714731,34.998027",31.71473080068653,34.9980273994733,47.25,4,28
20,euclidean,exact,exact_point,buildings,5min,300,"31.749334,34.986796",31.749333922328624,34.98679594814417,0.0,11,77
21,euclidean,exact,exact_point,buildings,5min,300,"31.740435,34.994240",31.740435020805993,34.99423966302236,0.0,4,28
22,euclidean,exact,exact_point,buildings,5min,300,"31.739037,34.994469",31.739036854521558,34.99446902481964,0.0,6,42
23,euclidean,exact,exact_point,network_nodes,5min,300,"31.743335,34.978494",31.74333480068235,34.978493599476046,28.09,27,189
24,euclidean,exact,exact_point,buildings,5min,300,"31.738786,34.976939",31.738785554657227,34.97693932116995,0.0,13,91
25,euclidean,exact,exact_point,buildings,5min,300,"31.741833,34.986371",31.741832501990586,34.98637108910028,0.0,3,21
26,euclidean,exact,exact_point,buildings,5min,300,"31.716446,34.989006",31.716445664194342,34.98900636941693,0.0,8,56
27,euclidean,exact,exact_point,buildings,5min,300,"31.746737,34.991338",31.74673664778588,34.99133769146553,0.0,8,56
28,euclidean,exact,exact_point,network_nodes,5min,300,"31.708885,35.000512",31.708884800687297,35.00051159947281,63.49,3,21
29,euclidean,exact,exact_point,network_nodes,5min,300,"31.743156,34.989357",31.743155500683038,34.98935749947566,74.49,2,14
30,euclidean,exact,exact_point,network_nodes,5min,300,"31.735860,34.997150",31.735859925687876,34.99715018861071,16.52,3,21
31,euclidean,exact,exact_point,network_nodes,5min,300,"31.742891,34.981643",31.742891300682576,34.98164339947589,22.3,4,28
32,euclidean,exact,exact_point,buildings,5min,300,"31.750629,34.991420",31.750629149633326,34.99142015471314,0.0,4,28
33,euclidean,exact,exact_point,network_nodes,5min,300,"31.709424,34.994129",31.709423500686825,34.994128999473055,46.18,8,56
34,euclidean,exact,exact_point,buildings,5min,300,"31.740325,34.984002",31.74032532680359,34.984002280826125,0.0,6,42
